Object Number,CG_x (px),CG_y (px),Width (px),Height (px),Depth (mm)
1,202,373,193,207,249
2,253,176,205,199,250
3,423,388,210,180,250
4,463,206,195,165,253
1,202,373,193,207,249
2,254,177,204,199,250
3,423,387,210,182,250
4,463,206,195,165,253
1,203,373,192,209,249
2,253,177,205,198,250
3,423,386,210,183,250
4,463,206,195,165,253
1,193,289,190,145,258
2,194,121,187,103,260
3,195,40,203,80,321
4,447,71,200,142,261
5,453,255,182,135,261
1,189,120,179,101,260
2,192,289,188,145,258
3,195,40,204,80,321
4,448,71,200,142,261
5,452,255,182,137,261
1,189,122,184,98,260
2,192,289,189,145,258
3,194,40,205,80,321
4,447,71,199,142,261
5,452,256,181,137,261
1,204,110,172,159,312
2,224,282,169,146,308
3,415,119,167,149,311
4,418,270,156,111,311
1,204,111,172,160,312
2,224,282,170,146,308
3,415,119,167,150,311
4,418,270,156,111,311
1,203,110,172,159,312
2,225,282,170,146,308
3,415,119,167,150,311
4,418,270,156,111,311
